DATE,FEDFUNDS
1990-01-01,8.23
1990-02-01,8.24
1990-03-01,8.28
1990-04-01,8.26
1990-05-01,8.18
1990-06-01,8.29
1990-07-01,8.15
1990-08-01,8.13
1990-09-01,8.20
1990-10-01,8.11
1990-11-01,7.81
1990-12-01,7.31
1991-01-01,6.91
1991-02-01,6.25
1991-03-01,6.12
1991-04-01,5.91
1991-05-01,5.78
1991-06-01,5.90
1991-07-01,5.82
1991-08-01,5.66
1991-09-01,5.45
1991-10-01,5.21
1991-11-01,4.81
1991-12-01,4.43
1992-01-01,4.03
1992-02-01,4.06
1992-03-01,3.98
1992-04-01,3.73
1992-05-01,3.82
1992-06-01,3.76
1992-07-01,3.25
1992-08-01,3.30
1992-09-01,3.22
1992-10-01,3.10
1992-11-01,3.09
1992-12-01,2.92
1993-01-01,3.02
1993-02-01,3.03
1993-03-01,3.07
1993-04-01,2.96
1993-05-01,3.00
1993-06-01,3.04
1993-07-01,3.06
1993-08-01,3.03
1993-09-01,3.09
1993-10-01,2.99
1993-11-01,3.02
1993-12-01,2.96
1994-01-01,3.05
1994-02-01,3.25
1994-03-01,3.34
1994-04-01,3.56
1994-05-01,4.01
1994-06-01,4.25
1994-07-01,4.26
1994-08-01,4.47
1994-09-01,4.73
1994-10-01,4.76
1994-11-01,5.29
1994-12-01,5.45
1995-01-01,5.53
1995-02-01,5.92
1995-03-01,5.98
1995-04-01,6.05
1995-05-01,6.01
1995-06-01,6.00
1995-07-01,5.85
1995-08-01,5.74
1995-09-01,5.80
1995-10-01,5.76
1995-11-01,5.80
1995-12-01,5.60
1996-01-01,5.56
1996-02-01,5.22
1996-03-01,5.31
1996-04-01,5.22
1996-05-01,5.24
1996-06-01,5.27
1996-07-01,5.40
1996-08-01,5.22
1996-09-01,5.30
1996-10-01,5.24
1996-11-01,5.31
1996-12-01,5.29
1997-01-01,5.25
1997-02-01,5.19
1997-03-01,5.39
1997-04-01,5.51
1997-05-01,5.50
1997-06-01,5.56
1997-07-01,5.52
1997-08-01,5.54
1997-09-01,5.54
1997-10-01,5.50
1997-11-01,5.52
1997-12-01,5.50
1998-01-01,5.56
1998-02-01,5.51
1998-03-01,5.49
1998-04-01,5.45
1998-05-01,5.49
1998-06-01,5.56
1998-07-01,5.54
1998-08-01,5.55
1998-09-01,5.51
1998-10-01,5.07
1998-11-01,4.83
1998-12-01,4.68
1999-01-01,4.63
1999-02-01,4.76
1999-03-01,4.81
1999-04-01,4.74
1999-05-01,4.74
1999-06-01,4.76
1999-07-01,4.99
1999-08-01,5.07
1999-09-01,5.22
1999-10-01,5.20
1999-11-01,5.42
1999-12-01,5.30
2000-01-01,5.45
2000-02-01,5.73
2000-03-01,5.85
2000-04-01,6.02
2000-05-01,6.27
2000-06-01,6.53
2000-07-01,6.54
2000-08-01,6.50
2000-09-01,6.52
2000-10-01,6.51
2000-11-01,6.51
2000-12-01,6.40
2001-01-01,5.98
2001-02-01,5.49
2001-03-01,5.31
2001-04-01,4.8
2001-05-01,4.21
2001-06-01,3.97
2001-07-01,3.77
2001-08-01,3.65
2001-09-01,3.07
2001-10-01,2.49
2001-11-01,2.09
2001-12-01,1.82
2002-01-01,1.73
2002-02-01,1.74
2002-03-01,1.73
2002-04-01,1.75
2002-05-01,1.75
2002-06-01,1.75
2002-07-01,1.73
2002-08-01,1.74
2002-09-01,1.75
2002-10-01,1.75
2002-11-01,1.34
2002-12-01,1.24
2003-01-01,1.24
2003-02-01,1.26
2003-03-01,1.25
2003-04-01,1.26
2003-05-01,1.26
2003-06-01,1.22
2003-07-01,1.01
2003-08-01,1.03
2003-09-01,1.01
2003-10-01,1.01
2003-11-01,1.00
2003-12-01,0.98
2004-01-01,1.00
2004-02-01,1.01
2004-03-01,1.00
2004-04-01,1.00
2004-05-01,1.00
2004-06-01,1.03
2004-07-01,1.26
2004-08-01,1.43
2004-09-01,1.61
2004-10-01,1.76
2004-11-01,1.93
2004-12-01,2.16
2005-01-01,2.28
2005-02-01,2.50
2005-03-01,2.63
2005-04-01,2.79
2005-05-01,3.00
2005-06-01,3.04
2005-07-01,3.26
2005-08-01,3.50
2005-09-01,3.62
2005-10-01,3.78
2005-11-01,4.00
2005-12-01,4.16
2006-01-01,4.29
2006-02-01,4.49
2006-03-01,4.59
2006-04-01,4.79
2006-05-01,4.94
2006-06-01,4.99
2006-07-01,5.24
2006-08-01,5.25
2006-09-01,5.25
2006-10-01,5.25
2006-11-01,5.25
2006-12-01,5.24
2007-01-01,5.25
2007-02-01,5.26
2007-03-01,5.26
2007-04-01,5.25
2007-05-01,5.25
2007-06-01,5.25
2007-07-01,5.26
2007-08-01,5.02
2007-09-01,4.94
2007-10-01,4.76
2007-11-01,4.49
2007-12-01,4.24
2008-01-01,3.94
2008-02-01,2.98
2008-03-01,2.61
2008-04-01,2.28
2008-05-01,1.98
2008-06-01,2.00
2008-07-01,2.01
2008-08-01,2.00
2008-09-01,1.81
2008-10-01,0.97
2008-11-01,0.39
2008-12-01,0.16
2009-01-01,0.15
2009-02-01,0.22
2009-03-01,0.18
2009-04-01,0.15
2009-05-01,0.18
2009-06-01,0.21
2009-07-01,0.16
2009-08-01,0.16
2009-09-01,0.15
2009-10-01,0.12
2009-11-01,0.12
2009-12-01,0.12
2010-01-01,0.11
2010-02-01,0.13
2010-03-01,0.16
2010-04-01,0.20
2010-05-01,0.20
2010-06-01,0.18
2010-07-01,0.18
2010-08-01,0.19
2010-09-01,0.19
2010-10-01,0.19
2010-11-01,0.19
2010-12-01,0.18
2011-01-01,0.17
2011-02-01,0.16
2011-03-01,0.14
2011-04-01,0.10
2011-05-01,0.09
2011-06-01,0.09
2011-07-01,0.07
2011-08-01,0.10
2011-09-01,0.08
2011-10-01,0.07
2011-11-01,0.08
2011-12-01,0.07
2012-01-01,0.08
2012-02-01,0.10
2012-03-01,0.13
2012-04-01,0.14
2012-05-01,0.16
2012-06-01,0.16
